"STATISTIC","Statistic Label","C02363V02844","Consumer Item","TLIST(M1)","Month","UNIT","VALUE"
"CPM04","National Average  Price","10010","Round steak per kg.","200804","2008M04","Euro","10.368"
"CPM04","National Average  Price","10010","Round steak per kg.","200805","2008M05","Euro","10.359"
"CPM04","National Average  Price","10010","Round steak per kg.","200806","2008M06","Euro","10.009"
"CPM04","National Average  Price","10010","Round steak per kg.","200807","2008M07","Euro","10.295"
"CPM04","National Average  Price","10010","Round steak per kg.","200808","2008M08","Euro","10.285"
"CPM04","National Average  Price","10010","Round steak per kg.","200809","2008M09","Euro","10.621"
"CPM04","National Average  Price","10010","Round steak per kg.","200810","2008M10","Euro","10.695"
"CPM04","National Average  Price","10010","Round steak per kg.","200811","2008M11","Euro","10.756"
"CPM04","National Average  Price","10010","Round steak per kg.","200812","2008M12","Euro","10.646"
"CPM04","National Average  Price","10010","Round steak per kg.","200901","2009M01","Euro","10.9"
"CPM04","National Average  Price","10010","Round steak per kg.","200902","2009M02","Euro","10.557"
"CPM04","National Average  Price","10010","Round steak per kg.","200903","2009M03","Euro","10.351"
"CPM04","National Average  Price","10010","Round steak per kg.","200904","2009M04","Euro","10.672"
"CPM04","National Average  Price","10010","Round steak per kg.","200905","2009M05","Euro","10.33"
"CPM04","National Average  Price","10010","Round steak per kg.","200906","2009M06","Euro","10.411"
"CPM04","National Average  Price","10010","Round steak per kg.","200907","2009M07","Euro","10.483"
"CPM04","National Average  Price","10010","Round steak per kg.","200908","2009M08","Euro","10.32"
"CPM04","National Average  Price","10010","Round steak per kg.","200909","2009M09","Euro","10.413"
"CPM04","National Average  Price","10010","Round steak per kg.","200910","2009M10","Euro","10.137"
"CPM04","National Average  Price","10010","Round steak per kg.","200911","2009M11","Euro","10.109"
"CPM04","National Average  Price","10010","Round steak per kg.","200912","2009M12","Euro","10.041"
"CPM04","National Average  Price","10010","Round steak per kg.","201001","2010M01","Euro","10.04"
"CPM04","National Average  Price","10010","Round steak per kg.","201002","2010M02","Euro","9.899"
"CPM04","National Average  Price","10010","Round steak per kg.","201003","2010M03","Euro","10.053"
"CPM04","National Average  Price","10010","Round steak per kg.","201004","2010M04","Euro","10.259"
"CPM04","National Average  Price","10010","Round steak per kg.","201005","2010M05","Euro","10.319"
"CPM04","National Average  Price","10010","Round steak per kg.","201006","2010M06","Euro","10.547"
"CPM04","National Average  Price","10010","Round steak per kg.","201007","2010M07","Euro","10.617"
"CPM04","National Average  Price","10010","Round steak per kg.","201008","2010M08","Euro","10.345"
"CPM04","National Average  Price","10010","Round steak per kg.","201009","2010M09","Euro","9.932"
"CPM04","National Average  Price","10010","Round steak per kg.","201010","2010M10","Euro","10.493"
"CPM04","National Average  Price","10010","Round steak per kg.","201011","2010M11","Euro","10.446"
"CPM04","National Average  Price","10010","Round steak per kg.","201012","2010M12","Euro","10.602"
"CPM04","National Average  Price","10010","Round steak per kg.","201101","2011M01","Euro","10.636"
"CPM04","National Average  Price","10010","Round steak per kg.","201102","2011M02","Euro","10.577"
"CPM04","National Average  Price","10010","Round steak per kg.","201103","2011M03","Euro","10.523"
"CPM04","National Average  Price","10010","Round steak per kg.","201104","2011M04","Euro","10.377"
"CPM04","National Average  Price","10010","Round steak per kg.","201105","2011M05","Euro","10.428"
"CPM04","National Average  Price","10010","Round steak per kg.","201106","2011M06","Euro","10.398"
"CPM04","National Average  Price","10010","Round steak per kg.","201107","2011M07","Euro","10.381"
"CPM04","National Average  Price","10010","Round steak per kg.","201108","2011M08","Euro","10.427"
"CPM04","National Average  Price","10010","Round steak per kg.","201109","2011M09","Euro","10.373"
"CPM04","National Average  Price","10010","Round steak per kg.","201110","2011M10","Euro","10.695"
"CPM04","National Average  Price","10010","Round steak per kg.","201111","2011M11","Euro","10.539"
"CPM04","National Average  Price","10010","Round steak per kg.","201112","2011M12","Euro",""
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200112","2001M12","Euro","12.095"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200201","2002M01","Euro","12.354"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200202","2002M02","Euro","12.404"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200203","2002M03","Euro","12.524"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200204","2002M04","Euro","12.558"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200205","2002M05","Euro","12.87"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200206","2002M06","Euro","12.871"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200207","2002M07","Euro","12.807"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200208","2002M08","Euro","12.816"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200209","2002M09","Euro","12.764"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200210","2002M10","Euro","12.02"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200211","2002M11","Euro","12.567"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200212","2002M12","Euro","11.986"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200301","2003M01","Euro","12.465"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200302","2003M02","Euro","12.603"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200303","2003M03","Euro","12.743"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200304","2003M04","Euro","12.916"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200305","2003M05","Euro","12.838"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200306","2003M06","Euro","12.981"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200307","2003M07","Euro","12.293"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200308","2003M08","Euro","12.4"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200309","2003M09","Euro","13.018"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200310","2003M10","Euro","12.983"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200311","2003M11","Euro","12.6"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200312","2003M12","Euro","12.561"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200401","2004M01","Euro","13.078"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200402","2004M02","Euro","13.241"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200403","2004M03","Euro","13.109"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200404","2004M04","Euro","13.33"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200405","2004M05","Euro","13.196"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200406","2004M06","Euro","13.44"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200407","2004M07","Euro","13.27"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200408","2004M08","Euro","12.995"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200409","2004M09","Euro","12.642"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200410","2004M10","Euro","12.106"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200411","2004M11","Euro","12.402"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200412","2004M12","Euro","11.798"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200501","2005M01","Euro","12.5"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200502","2005M02","Euro","12.793"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200503","2005M03","Euro","12.666"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200504","2005M04","Euro","11.837"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200505","2005M05","Euro","11.048"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200506","2005M06","Euro","11.964"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200507","2005M07","Euro","11.989"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200508","2005M08","Euro","11.698"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200509","2005M09","Euro","10.94"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200510","2005M10","Euro","11.653"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200511","2005M11","Euro","11.81"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200512","2005M12","Euro","11.254"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200601","2006M01","Euro","12.125"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200602","2006M02","Euro","12.192"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200603","2006M03","Euro","12.112"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200604","2006M04","Euro","12.333"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200605","2006M05","Euro","12.588"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200606","2006M06","Euro","12.364"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200607","2006M07","Euro","13.987"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200608","2006M08","Euro","13.861"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200609","2006M09","Euro","13.497"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200610","2006M10","Euro","13.714"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200611","2006M11","Euro","13.492"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200612","2006M12","Euro","13.39"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200701","2007M01","Euro","13.86"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200702","2007M02","Euro","14.715"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200703","2007M03","Euro","14.552"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200704","2007M04","Euro","13.686"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200705","2007M05","Euro","14.813"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200706","2007M06","Euro","14.503"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200707","2007M07","Euro","14.678"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200708","2007M08","Euro","13.39"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200709","2007M09","Euro","14.908"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200710","2007M10","Euro","14.677"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200711","2007M11","Euro","14.118"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200712","2007M12","Euro","13.47"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200801","2008M01","Euro","14.38"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200802","2008M02","Euro","15.118"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200803","2008M03","Euro","13.992"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200804","2008M04","Euro","15.6"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200805","2008M05","Euro","15.646"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200806","2008M06","Euro","15.125"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200807","2008M07","Euro","15.919"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200808","2008M08","Euro","15.901"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200809","2008M09","Euro","14.767"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200810","2008M10","Euro","15.476"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200811","2008M11","Euro","15.528"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200812","2008M12","Euro","15.669"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200901","2009M01","Euro","15.841"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200902","2009M02","Euro","14.515"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200903","2009M03","Euro","15.615"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200904","2009M04","Euro","13.381"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200905","2009M05","Euro","14.965"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200906","2009M06","Euro","14.595"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200907","2009M07","Euro","14.642"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200908","2009M08","Euro","14.472"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200909","2009M09","Euro","13.094"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200910","2009M10","Euro","14.305"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200911","2009M11","Euro","14.14"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","200912","2009M12","Euro","13.729"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201001","2010M01","Euro","13.42"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201002","2010M02","Euro","13.86"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201003","2010M03","Euro","13.714"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201004","2010M04","Euro","13.092"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201005","2010M05","Euro","13.985"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201006","2010M06","Euro","13.888"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201007","2010M07","Euro","14.239"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201008","2010M08","Euro","14.039"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201009","2010M09","Euro","12.663"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201010","2010M10","Euro","12.76"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201011","2010M11","Euro","13.975"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201012","2010M12","Euro","13.807"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201101","2011M01","Euro","13.362"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201102","2011M02","Euro","13.651"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201103","2011M03","Euro","13.392"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201104","2011M04","Euro","13.444"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201105","2011M05","Euro","13.876"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201106","2011M06","Euro","13.94"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201107","2011M07","Euro","14.804"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201108","2011M08","Euro","14.449"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201109","2011M09","Euro","14.429"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201110","2011M10","Euro","14.577"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201111","2011M11","Euro","15.156"
"CPM04","National Average  Price","10020","Sirloin steak per kg.","201112","2011M12","Euro","15.007"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200112","2001M12","Euro","16.448"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200201","2002M01","Euro","16.762"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200202","2002M02","Euro","16.826"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200203","2002M03","Euro","16.998"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200204","2002M04","Euro","16.943"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200205","2002M05","Euro","17.381"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200206","2002M06","Euro","17.309"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200207","2002M07","Euro","17.607"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200208","2002M08","Euro","17.409"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200209","2002M09","Euro","17.537"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200210","2002M10","Euro","17.438"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200211","2002M11","Euro","17.343"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200212","2002M12","Euro","17.3"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200301","2003M01","Euro","17.196"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200302","2003M02","Euro","17.298"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200303","2003M03","Euro","17.762"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200304","2003M04","Euro","17.681"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200305","2003M05","Euro","17.598"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200306","2003M06","Euro","17.338"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200307","2003M07","Euro","18.281"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200308","2003M08","Euro","18.368"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200309","2003M09","Euro","18.417"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200310","2003M10","Euro","18.329"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200311","2003M11","Euro","18.234"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200312","2003M12","Euro","18.482"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200401","2004M01","Euro","18.538"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200402","2004M02","Euro","18.528"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200403","2004M03","Euro","18.595"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200404","2004M04","Euro","18.703"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200405","2004M05","Euro","18.736"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200406","2004M06","Euro","18.74"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200407","2004M07","Euro","18.788"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200408","2004M08","Euro","18.732"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200409","2004M09","Euro","18.67"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200410","2004M10","Euro","18.086"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200411","2004M11","Euro","18.577"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200412","2004M12","Euro","18.727"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200501","2005M01","Euro","18.48"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200502","2005M02","Euro","18.951"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200503","2005M03","Euro","18.266"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200504","2005M04","Euro","17.429"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200505","2005M05","Euro","17.699"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200506","2005M06","Euro","17.444"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200507","2005M07","Euro","17.368"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200508","2005M08","Euro","17.183"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200509","2005M09","Euro","17.676"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200510","2005M10","Euro","17.093"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200511","2005M11","Euro","17.387"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200512","2005M12","Euro","17.185"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200601","2006M01","Euro","17.916"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200602","2006M02","Euro","18.282"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200603","2006M03","Euro","18.281"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200604","2006M04","Euro","18.636"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200605","2006M05","Euro","18.9"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200606","2006M06","Euro","18.452"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200607","2006M07","Euro","19.991"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200608","2006M08","Euro","20.258"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200609","2006M09","Euro","20.368"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200610","2006M10","Euro","20.393"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200611","2006M11","Euro","20.143"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200612","2006M12","Euro","20.427"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200701","2007M01","Euro","20.614"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200702","2007M02","Euro","20.279"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200703","2007M03","Euro","19.543"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200704","2007M04","Euro","20.758"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200705","2007M05","Euro","20.595"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200706","2007M06","Euro","21.074"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200707","2007M07","Euro","21.153"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200708","2007M08","Euro","20.71"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200709","2007M09","Euro","20.789"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200710","2007M10","Euro","20.985"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200711","2007M11","Euro","20.871"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200712","2007M12","Euro","20.201"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200801","2008M01","Euro","21.808"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200802","2008M02","Euro","22.39"
"CPM04","National Average  Price","10030","Striploin steak per kg.","200803","2008M03","Euro","22.768"
