"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02363V03422","Consumer Item","UNIT","VALUE"
"CPM12","National Average Price","201201","2012 January","12160","Stout - draught bar (1 pint)","Euro","3.963"
"CPM12","National Average Price","201201","2012 January","12170","Lager - draught bar (1 pint)","Euro","4.276"
"CPM12","National Average Price","201201","2012 January","12180","Lager - bar (33cl bottle)","Euro","4.351"
"CPM12","National Average Price","201201","2012 January","12190","Cider - draught bar (1 pint)","Euro","4.471"
"CPM12","National Average Price","201201","2012 January","12200","Ale - draught bar (1 pint)","Euro","4.005"
"CPM12","National Average Price","201201","2012 January","12210","Cider - bar (33cl bottle)","Euro","4.472"
"CPM12","National Average Price","201201","2012 January","12220","Flavoured alcoholic drink - bar (275ml bottle)","Euro","5.167"
"CPM12","National Average Price","201201","2012 January","12230","Whiskey - bar (single) per ½ glass","Euro","3.703"
"CPM12","National Average Price","201201","2012 January","12240","Brandy - bar (single) per ½ glass","Euro","4.271"
"CPM12","National Average Price","201201","2012 January","12250","Vodka - bar (single) per ½ glass","Euro","3.764"
"CPM12","National Average Price","201201","2012 January","12270","Wine - bar (187ml bottle)","Euro","4.844"
"CPM12","National Average Price","201201","2012 January","30180","Diesel per litre","Euro","1.529"
"CPM12","National Average Price","201201","2012 January","30190","Petrol - unleaded per litre","Euro","1.542"
"CPM12","National Average Price","201201","2012 January","30400","Cinema fee","Euro","8.795"
"CPM12","National Average Price","201201","2012 January","30410","Nightclubs fee","Euro","9.715"
"CPM12","National Average Price","201201","2012 January","30690","Gent's dry cut fee","Euro","11.643"
"CPM12","National Average Price","201201","2012 January","30700","Gent's wash, cut, and blow dry fee","Euro","18.585"
"CPM12","National Average Price","201201","2012 January","30720","Ladies' wash, cut and blow dry fee","Euro","38.67"
"CPM12","National Average Price","201202","2012 February","10020","White, self raising flour per 2 kg","Euro","2.146"
"CPM12","National Average Price","201202","2012 February","10030","Brown, wholemeal flour per 2 kg","Euro","2.466"
"CPM12","National Average Price","201202","2012 February","10040","Bread, white sliced pan, large (800g)","Euro","1.275"
"CPM12","National Average Price","201202","2012 February","10050","Bread, brown sliced pan, large (800g)","Euro","1.541"
"CPM12","National Average Price","201202","2012 February","10190","Spaghetti per 500g","Euro","1.186"
"CPM12","National Average Price","201202","2012 February","10280","Sirloin steak per kg","Euro","15.112"
"CPM12","National Average Price","201202","2012 February","10290","Striploin steak per kg","Euro","20.077"
"CPM12","National Average Price","201202","2012 February","10300","Roast beef - topside or rib per kg","Euro","11.389"
"CPM12","National Average Price","201202","2012 February","10310","Sliced / diced beef pieces per kg","Euro","9.969"
"CPM12","National Average Price","201202","2012 February","10320","Pork loin chops per kg","Euro","8.419"
"CPM12","National Average Price","201202","2012 February","10330","Pork steak per kg","Euro","9.079"
"CPM12","National Average Price","201202","2012 February","10340","Lamb - whole leg / half leg per kg","Euro","11.197"
"CPM12","National Average Price","201202","2012 February","10350","Lamb loin chops per kg","Euro","18.169"
"CPM12","National Average Price","201202","2012 February","10360","Lamb gigot chops per kg","Euro","12.922"
"CPM12","National Average Price","201202","2012 February","10370","Uncooked chicken medium size 1.6kg","Euro","5.51"
"CPM12","National Average Price","201202","2012 February","10400","Lamb's liver per kg","Euro","5.524"
"CPM12","National Average Price","201202","2012 February","10410","Ham fillet per kg","Euro","6.041"
"CPM12","National Average Price","201202","2012 February","10420","Cooked ham per kg","Euro","15.955"
"CPM12","National Average Price","201202","2012 February","10440","Best back rashers per kg","Euro","10.775"
"CPM12","National Average Price","201202","2012 February","10450","Pork sausages per kg","Euro","5.461"
"CPM12","National Average Price","201202","2012 February","10520","Fresh fillet of whiting per kg","Euro","10.48"
"CPM12","National Average Price","201202","2012 February","10530","Fresh fillet of cod per kg","Euro","13.921"
"CPM12","National Average Price","201202","2012 February","10540","Fresh salmon per kg","Euro","13.125"
"CPM12","National Average Price","201202","2012 February","10550","Fresh fillet of plaice per kg","Euro","16.059"
"CPM12","National Average Price","201202","2012 February","10570","Fresh hake per kg","Euro",""
"CPM12","National Average Price","201202","2012 February","10590","Smoked salmon per kg","Euro","24.472"
"CPM12","National Average Price","201202","2012 February","10630","Full fat milk per 2 litre","Euro","1.775"
"CPM12","National Average Price","201202","2012 February","10640","Low fat milk per 1 litre","Euro","1.05"
"CPM12","National Average Price","201202","2012 February","10680","Irish cheddar per kg","Euro","11.368"
"CPM12","National Average Price","201202","2012 February","10730","Large eggs per half dozen","Euro","1.814"
"CPM12","National Average Price","201202","2012 February","10740","Medium eggs per half dozen","Euro","1.568"
"CPM12","National Average Price","201202","2012 February","10750","Butter per lb","Euro","2.771"
"CPM12","National Average Price","201202","2012 February","10840","Grapes per kg","Euro","6.338"
"CPM12","National Average Price","201202","2012 February","10850","Bananas per kg","Euro","1.359"
"CPM12","National Average Price","201202","2012 February","10910","Tomatoes per kg","Euro","2.874"
"CPM12","National Average Price","201202","2012 February","10920","Onions per kg","Euro","1.206"
"CPM12","National Average Price","201202","2012 February","10940","Broccoli per kg","Euro","3.012"
"CPM12","National Average Price","201202","2012 February","10950","Carrots per kg","Euro","1.193"
"CPM12","National Average Price","201202","2012 February","10960","Mushrooms per kg","Euro","4.289"
"CPM12","National Average Price","201202","2012 February","11040","Tomatoes tinned per 400g","Euro","0.845"
"CPM12","National Average Price","201202","2012 February","11090","Potatoes 2.5 kg","Euro","3.11"
"CPM12","National Average Price","201202","2012 February","11095","Potatoes 7.5 kg","Euro",""
"CPM12","National Average Price","201202","2012 February","11100","Potatoes 10 kg","Euro","5.272"
"CPM12","National Average Price","201202","2012 February","11150","White granulated sugar per 1 kg","Euro","1.337"
"CPM12","National Average Price","201202","2012 February","11160","Jam per lb","Euro","1.908"
"CPM12","National Average Price","201202","2012 February","11180","Marmalade per lb","Euro","1.869"
"CPM12","National Average Price","201202","2012 February","11570","Tea bags per 80","Euro","2.854"
"CPM12","National Average Price","201202","2012 February","11640","Orange juice per litre","Euro","1.401"
"CPM12","National Average Price","201202","2012 February","11680","Whiskey - take home (70cl bottle)","Euro","21.728"
"CPM12","National Average Price","201202","2012 February","11690","Brandy - take home (70cl bottle)","Euro","25.539"
"CPM12","National Average Price","201202","2012 February","11700","Vodka - take home (70cl bottle)","Euro","16.562"
"CPM12","National Average Price","201202","2012 February","11710","Cream liqueur - take home (70cl bottle)","Euro","14.262"
"CPM12","National Average Price","201202","2012 February","11730","Wine - take home (75cl bottle)","Euro","8.725"
"CPM12","National Average Price","201202","2012 February","11740","Cider - take home (50cl can)","Euro","2.114"
"CPM12","National Average Price","201202","2012 February","11750","Sherry - take home (75cl bottle)","Euro","10.851"
"CPM12","National Average Price","201202","2012 February","11760","Lager - take home (50cl can)","Euro","1.8"
"CPM12","National Average Price","201202","2012 February","11780","Stout - take home (50cl can)","Euro","2.061"
"CPM12","National Average Price","201202","2012 February","11790","Filtered cigarettes per 20 pk","Euro","9.024"
"CPM12","National Average Price","201202","2012 February","12160","Stout - draught bar (1 pint)","Euro","3.985"
"CPM12","National Average Price","201202","2012 February","12170","Lager - draught bar (1 pint)","Euro","4.322"
"CPM12","National Average Price","201202","2012 February","12180","Lager - bar (33cl bottle)","Euro","4.363"
"CPM12","National Average Price","201202","2012 February","12190","Cider - draught bar (1 pint)","Euro","4.481"
"CPM12","National Average Price","201202","2012 February","12200","Ale - draught bar (1 pint)","Euro","4.035"
"CPM12","National Average Price","201202","2012 February","12210","Cider - bar (33cl bottle)","Euro","4.484"
"CPM12","National Average Price","201202","2012 February","12220","Flavoured alcoholic drink - bar (275ml bottle)","Euro","5.166"
"CPM12","National Average Price","201202","2012 February","12230","Whiskey - bar (single) per ½ glass","Euro","3.728"
"CPM12","National Average Price","201202","2012 February","12240","Brandy - bar (single) per ½ glass","Euro","4.298"
"CPM12","National Average Price","201202","2012 February","12250","Vodka - bar (single) per ½ glass","Euro","3.785"
"CPM12","National Average Price","201202","2012 February","12270","Wine - bar (187ml bottle)","Euro","4.878"
"CPM12","National Average Price","201202","2012 February","30180","Diesel per litre","Euro","1.554"
"CPM12","National Average Price","201202","2012 February","30190","Petrol - unleaded per litre","Euro","1.578"
"CPM12","National Average Price","201202","2012 February","30400","Cinema fee","Euro","8.885"
"CPM12","National Average Price","201202","2012 February","30410","Nightclubs fee","Euro","9.778"
"CPM12","National Average Price","201202","2012 February","30690","Gent's dry cut fee","Euro","11.717"
"CPM12","National Average Price","201202","2012 February","30700","Gent's wash, cut, and blow dry fee","Euro","17.855"
"CPM12","National Average Price","201202","2012 February","30720","Ladies' wash, cut and blow dry fee","Euro","36.513"
"CPM12","National Average Price","201203","2012 March","10020","White, self raising flour per 2 kg","Euro","2.14"
"CPM12","National Average Price","201203","2012 March","10030","Brown, wholemeal flour per 2 kg","Euro","2.485"
"CPM12","National Average Price","201203","2012 March","10040","Bread, white sliced pan, large (800g)","Euro","1.281"
"CPM12","National Average Price","201203","2012 March","10050","Bread, brown sliced pan, large (800g)","Euro","1.529"
"CPM12","National Average Price","201203","2012 March","10190","Spaghetti per 500g","Euro","1.196"
"CPM12","National Average Price","201203","2012 March","10280","Sirloin steak per kg","Euro","14.936"
"CPM12","National Average Price","201203","2012 March","10290","Striploin steak per kg","Euro","21.495"
"CPM12","National Average Price","201203","2012 March","10300","Roast beef - topside or rib per kg","Euro","11.615"
"CPM12","National Average Price","201203","2012 March","10310","Sliced / diced beef pieces per kg","Euro","9.897"
"CPM12","National Average Price","201203","2012 March","10320","Pork loin chops per kg","Euro","8.448"
"CPM12","National Average Price","201203","2012 March","10330","Pork steak per kg","Euro","9.038"
"CPM12","National Average Price","201203","2012 March","10340","Lamb - whole leg / half leg per kg","Euro","11.859"
"CPM12","National Average Price","201203","2012 March","10350","Lamb loin chops per kg","Euro","18.146"
"CPM12","National Average Price","201203","2012 March","10360","Lamb gigot chops per kg","Euro","13"
"CPM12","National Average Price","201203","2012 March","10370","Uncooked chicken medium size 1.6kg","Euro","5.702"
"CPM12","National Average Price","201203","2012 March","10400","Lamb's liver per kg","Euro","5.671"
"CPM12","National Average Price","201203","2012 March","10410","Ham fillet per kg","Euro","6.101"
"CPM12","National Average Price","201203","2012 March","10420","Cooked ham per kg","Euro","15.698"
"CPM12","National Average Price","201203","2012 March","10440","Best back rashers per kg","Euro","10.613"
"CPM12","National Average Price","201203","2012 March","10450","Pork sausages per kg","Euro","5.383"
"CPM12","National Average Price","201203","2012 March","10520","Fresh fillet of whiting per kg","Euro","10.848"
"CPM12","National Average Price","201203","2012 March","10530","Fresh fillet of cod per kg","Euro","15.395"
"CPM12","National Average Price","201203","2012 March","10540","Fresh salmon per kg","Euro","15.01"
"CPM12","National Average Price","201203","2012 March","10550","Fresh fillet of plaice per kg","Euro","18.102"
"CPM12","National Average Price","201203","2012 March","10570","Fresh hake per kg","Euro",""
"CPM12","National Average Price","201203","2012 March","10590","Smoked salmon per kg","Euro","25.922"
"CPM12","National Average Price","201203","2012 March","10630","Full fat milk per 2 litre","Euro","1.774"
"CPM12","National Average Price","201203","2012 March","10640","Low fat milk per 1 litre","Euro","1.052"
"CPM12","National Average Price","201203","2012 March","10680","Irish cheddar per kg","Euro","11.026"
"CPM12","National Average Price","201203","2012 March","10730","Large eggs per half dozen","Euro","1.776"
"CPM12","National Average Price","201203","2012 March","10740","Medium eggs per half dozen","Euro","1.485"
"CPM12","National Average Price","201203","2012 March","10750","Butter per lb","Euro","2.769"
"CPM12","National Average Price","201203","2012 March","10840","Grapes per kg","Euro","6.145"
"CPM12","National Average Price","201203","2012 March","10850","Bananas per kg","Euro","1.371"
"CPM12","National Average Price","201203","2012 March","10910","Tomatoes per kg","Euro","2.881"
"CPM12","National Average Price","201203","2012 March","10920","Onions per kg","Euro","1.147"
"CPM12","National Average Price","201203","2012 March","10940","Broccoli per kg","Euro","3.049"
"CPM12","National Average Price","201203","2012 March","10950","Carrots per kg","Euro","1.176"
"CPM12","National Average Price","201203","2012 March","10960","Mushrooms per kg","Euro","4.284"
"CPM12","National Average Price","201203","2012 March","11040","Tomatoes tinned per 400g","Euro","0.839"
"CPM12","National Average Price","201203","2012 March","11090","Potatoes 2.5 kg","Euro","3.013"
"CPM12","National Average Price","201203","2012 March","11095","Potatoes 7.5 kg","Euro",""
"CPM12","National Average Price","201203","2012 March","11100","Potatoes 10 kg","Euro","4.862"
"CPM12","National Average Price","201203","2012 March","11150","White granulated sugar per 1 kg","Euro","1.341"
"CPM12","National Average Price","201203","2012 March","11160","Jam per lb","Euro","1.953"
"CPM12","National Average Price","201203","2012 March","11180","Marmalade per lb","Euro","1.838"
"CPM12","National Average Price","201203","2012 March","11570","Tea bags per 80","Euro","2.949"
"CPM12","National Average Price","201203","2012 March","11640","Orange juice per litre","Euro","1.518"
"CPM12","National Average Price","201203","2012 March","11680","Whiskey - take home (70cl bottle)","Euro","21.189"
"CPM12","National Average Price","201203","2012 March","11690","Brandy - take home (70cl bottle)","Euro","24.189"
"CPM12","National Average Price","201203","2012 March","11700","Vodka - take home (70cl bottle)","Euro","17.27"
"CPM12","National Average Price","201203","2012 March","11710","Cream liqueur - take home (70cl bottle)","Euro","13.34"
"CPM12","National Average Price","201203","2012 March","11730","Wine - take home (75cl bottle)","Euro","9.104"
"CPM12","National Average Price","201203","2012 March","11740","Cider - take home (50cl can)","Euro","2.1"
"CPM12","National Average Price","201203","2012 March","11750","Sherry - take home (75cl bottle)","Euro","10.742"
"CPM12","National Average Price","201203","2012 March","11760","Lager - take home (50cl can)","Euro","1.779"
"CPM12","National Average Price","201203","2012 March","11780","Stout - take home (50cl can)","Euro","2.065"
"CPM12","National Average Price","201203","2012 March","11790","Filtered cigarettes per 20 pk","Euro","9.027"
"CPM12","National Average Price","201203","2012 March","12160","Stout - draught bar (1 pint)","Euro","3.984"
"CPM12","National Average Price","201203","2012 March","12170","Lager - draught bar (1 pint)","Euro","4.323"
"CPM12","National Average Price","201203","2012 March","12180","Lager - bar (33cl bottle)","Euro","4.371"
"CPM12","National Average Price","201203","2012 March","12190","Cider - draught bar (1 pint)","Euro","4.486"
"CPM12","National Average Price","201203","2012 March","12200","Ale - draught bar (1 pint)","Euro","4.028"
"CPM12","National Average Price","201203","2012 March","12210","Cider - bar (33cl bottle)","Euro","4.492"
"CPM12","National Average Price","201203","2012 March","12220","Flavoured alcoholic drink - bar (275ml bottle)","Euro","5.155"
"CPM12","National Average Price","201203","2012 March","12230","Whiskey - bar (single) per ½ glass","Euro","3.728"
"CPM12","National Average Price","201203","2012 March","12240","Brandy - bar (single) per ½ glass","Euro","4.302"
"CPM12","National Average Price","201203","2012 March","12250","Vodka - bar (single) per ½ glass","Euro","3.786"
"CPM12","National Average Price","201203","2012 March","12270","Wine - bar (187ml bottle)","Euro","4.903"
"CPM12","National Average Price","201203","2012 March","30180","Diesel per litre","Euro","1.582"
"CPM12","National Average Price","201203","2012 March","30190","Petrol - unleaded per litre","Euro","1.629"
"CPM12","National Average Price","201203","2012 March","30400","Cinema fee","Euro","8.963"
"CPM12","National Average Price","201203","2012 March","30410","Nightclubs fee","Euro","9.892"
"CPM12","National Average Price","201203","2012 March","30690","Gent's dry cut fee","Euro","11.945"
"CPM12","National Average Price","201203","2012 March","30700","Gent's wash, cut, and blow dry fee","Euro","17.792"
"CPM12","National Average Price","201203","2012 March","30720","Ladies' wash, cut and blow dry fee","Euro","36.009"
"CPM12","National Average Price","201204","2012 April","10020","White, self raising flour per 2 kg","Euro","2.132"
"CPM12","National Average Price","201204","2012 April","10030","Brown, wholemeal flour per 2 kg","Euro","2.504"
"CPM12","National Average Price","201204","2012 April","10040","Bread, white sliced pan, large (800g)","Euro","1.291"
"CPM12","National Average Price","201204","2012 April","10050","Bread, brown sliced pan, large (800g)","Euro","1.529"
"CPM12","National Average Price","201204","2012 April","10190","Spaghetti per 500g","Euro","1.17"
"CPM12","National Average Price","201204","2012 April","10280","Sirloin steak per kg","Euro","15.338"
"CPM12","National Average Price","201204","2012 April","10290","Striploin steak per kg","Euro","22.242"
"CPM12","National Average Price","201204","2012 April","10300","Roast beef - topside or rib per kg","Euro","11.865"
"CPM12","National Average Price","201204","2012 April","10310","Sliced / diced beef pieces per kg","Euro","10.004"
"CPM12","National Average Price","201204","2012 April","10320","Pork loin chops per kg","Euro","8.526"
"CPM12","National Average Price","201204","2012 April","10330","Pork steak per kg","Euro","9.382"
"CPM12","National Average Price","201204","2012 April","10340","Lamb - whole leg / half leg per kg","Euro","12.558"
"CPM12","National Average Price","201204","2012 April","10350","Lamb loin chops per kg","Euro","19.526"
"CPM12","National Average Price","201204","2012 April","10360","Lamb gigot chops per kg","Euro","13.218"
"CPM12","National Average Price","201204","2012 April","10370","Uncooked chicken medium size 1.6kg","Euro","5.772"
"CPM12","National Average Price","201204","2012 April","10400","Lamb's liver per kg","Euro","5.669"
"CPM12","National Average Price","201204","2012 April","10410","Ham fillet per kg","Euro","6.063"
"CPM12","National Average Price","201204","2012 April","10420","Cooked ham per kg","Euro","16.248"
"CPM12","National Average Price","201204","2012 April","10440","Best back rashers per kg","Euro","10.968"
"CPM12","National Average Price","201204","2012 April","10450","Pork sausages per kg","Euro","5.577"
"CPM12","National Average Price","201204","2012 April","10520","Fresh fillet of whiting per kg","Euro","10.844"
"CPM12","National Average Price","201204","2012 April","10530","Fresh fillet of cod per kg","Euro","14.951"
"CPM12","National Average Price","201204","2012 April","10540","Fresh salmon per kg","Euro","14.575"
"CPM12","National Average Price","201204","2012 April","10550","Fresh fillet of plaice per kg","Euro","18.436"
"CPM12","National Average Price","201204","2012 April","10570","Fresh hake per kg","Euro",""
"CPM12","National Average Price","201204","2012 April","10590","Smoked salmon per kg","Euro","25.997"
"CPM12","National Average Price","201204","2012 April","10630","Full fat milk per 2 litre","Euro","1.771"
"CPM12","National Average Price","201204","2012 April","10640","Low fat milk per 1 litre","Euro","1.053"
"CPM12","National Average Price","201204","2012 April","10680","Irish cheddar per kg","Euro","11.146"
"CPM12","National Average Price","201204","2012 April","10730","Large eggs per half dozen","Euro","1.853"
"CPM12","National Average Price","201204","2012 April","10740","Medium eggs per half dozen","Euro","1.648"
"CPM12","National Average Price","201204","2012 April","10750","Butter per lb","Euro","2.768"
"CPM12","National Average Price","201204","2012 April","10840","Grapes per kg","Euro","5.934"
"CPM12","National Average Price","201204","2012 April","10850","Bananas per kg","Euro","1.362"
"CPM12","National Average Price","201204","2012 April","10910","Tomatoes per kg","Euro","2.914"
"CPM12","National Average Price","201204","2012 April","10920","Onions per kg","Euro","1.172"
"CPM12","National Average Price","201204","2012 April","10940","Broccoli per kg","Euro","3.079"
"CPM12","National Average Price","201204","2012 April","10950","Carrots per kg","Euro","1.128"
"CPM12","National Average Price","201204","2012 April","10960","Mushrooms per kg","Euro","4.428"
"CPM12","National Average Price","201204","2012 April","11040","Tomatoes tinned per 400g","Euro","0.846"
"CPM12","National Average Price","201204","2012 April","11090","Potatoes 2.5 kg","Euro","2.953"
"CPM12","National Average Price","201204","2012 April","11095","Potatoes 7.5 kg","Euro",""
"CPM12","National Average Price","201204","2012 April","11100","Potatoes 10 kg","Euro","5.088"
"CPM12","National Average Price","201204","2012 April","11150","White granulated sugar per 1 kg","Euro","1.343"
"CPM12","National Average Price","201204","2012 April","11160","Jam per lb","Euro","1.95"
"CPM12","National Average Price","201204","2012 April","11180","Marmalade per lb","Euro","1.843"
"CPM12","National Average Price","201204","2012 April","11570","Tea bags per 80","Euro","2.908"
"CPM12","National Average Price","201204","2012 April","11640","Orange juice per litre","Euro","1.458"
"CPM12","National Average Price","201204","2012 April","11680","Whiskey - take home (70cl bottle)","Euro","21.315"
"CPM12","National Average Price","201204","2012 April","11690","Brandy - take home (70cl bottle)","Euro","24.713"
"CPM12","National Average Price","201204","2012 April","11700","Vodka - take home (70cl bottle)","Euro","16.976"
"CPM12","National Average Price","201204","2012 April","11710","Cream liqueur - take home (70cl bottle)","Euro","14.236"
"CPM12","National Average Price","201204","2012 April","11730","Wine - take home (75cl bottle)","Euro","8.764"
"CPM12","National Average Price","201204","2012 April","11740","Cider - take home (50cl can)","Euro","2.11"
"CPM12","National Average Price","201204","2012 April","11750","Sherry - take home (75cl bottle)","Euro","11.316"
"CPM12","National Average Price","201204","2012 April","11760","Lager - take home (50cl can)","Euro","1.781"
"CPM12","National Average Price","201204","2012 April","11780","Stout - take home (50cl can)","Euro","2.062"
"CPM12","National Average Price","201204","2012 April","11790","Filtered cigarettes per 20 pk","Euro","9.026"
"CPM12","National Average Price","201204","2012 April","12160","Stout - draught bar (1 pint)","Euro","3.982"
"CPM12","National Average Price","201204","2012 April","12170","Lager - draught bar (1 pint)","Euro","4.325"
"CPM12","National Average Price","201204","2012 April","12180","Lager - bar (33cl bottle)","Euro","4.368"
"CPM12","National Average Price","201204","2012 April","12190","Cider - draught bar (1 pint)","Euro","4.479"
"CPM12","National Average Price","201204","2012 April","12200","Ale - draught bar (1 pint)","Euro","4.026"
"CPM12","National Average Price","201204","2012 April","12210","Cider - bar (33cl bottle)","Euro","4.493"
"CPM12","National Average Price","201204","2012 April","12220","Flavoured alcoholic drink - bar (275ml bottle)","Euro","5.153"
"CPM12","National Average Price","201204","2012 April","12230","Whiskey - bar (single) per ½ glass","Euro","3.732"
"CPM12","National Average Price","201204","2012 April","12240","Brandy - bar (single) per ½ glass","Euro","4.3"
"CPM12","National Average Price","201204","2012 April","12250","Vodka - bar (single) per ½ glass","Euro","3.785"
"CPM12","National Average Price","201204","2012 April","12270","Wine - bar (187ml bottle)","Euro","4.88"
"CPM12","National Average Price","201204","2012 April","30180","Diesel per litre","Euro","1.6"
"CPM12","National Average Price","201204","2012 April","30190","Petrol - unleaded per litre","Euro","1.686"
"CPM12","National Average Price","201204","2012 April","30400","Cinema fee","Euro","8.979"
"CPM12","National Average Price","201204","2012 April","30410","Nightclubs fee","Euro","9.767"
"CPM12","National Average Price","201204","2012 April","30690","Gent's dry cut fee","Euro","11.945"
"CPM12","National Average Price","201204","2012 April","30700","Gent's wash, cut, and blow dry fee","Euro","17.702"
"CPM12","National Average Price","201204","2012 April","30720","Ladies' wash, cut and blow dry fee","Euro","36.121"
"CPM12","National Average Price","201205","2012 May","10020","White, self raising flour per 2 kg","Euro","2.132"
"CPM12","National Average Price","201205","2012 May","10030","Brown, wholemeal flour per 2 kg","Euro","2.485"
"CPM12","National Average Price","201205","2012 May","10040","Bread, white sliced pan, large (800g)","Euro","1.306"
"CPM12","National Average Price","201205","2012 May","10050","Bread, brown sliced pan, large (800g)","Euro","1.511"
"CPM12","National Average Price","201205","2012 May","10190","Spaghetti per 500g","Euro","1.175"
